Hardy,Sallebray
,"PRECIEUSE. | Enfin, personne icy ne sçauroit nous entendre, | Quel est donc le bon-heur que vous voulez m’apprendre ? | Je meurs de le sçavoir, contentez mon désir, | Qui le déclare tost fait doublement plaisir. | {p. 2 } |"
,"LA VIEILLE. | 5 | Ha l’heureux accident* ! l’admirable avanture*, | Si j’en doy croire au moins certaine conjecture. |"
,"PRECIEUSE. | Mais ces ravissemens* sont pour moy superflus, | Et mon impatience177 en augmente encor plus. |"
,LA VIEILLE. | O Ciel ! quelle fortune* à la nostre est pareille ? | 10 | Et que ne promet point cette rare merveille ? |
,"PRECIEUSE. | Tout cela jusqu’icy ne m’éclaircit de rien, | Et je treuve une peine où j’atendois un bien. |"
,"LA VIEILLE. | Ne hâtons point celuy que le sort nous envoye, | Ménageons ses faveurs ainsi que nostre joye. |"
,"PRECIEUSE. | 15 | Hé ne me tenés178 plus davantage en langueur, | Ou comblés179 d’un refus vôtre injuste rigueur. | Vous retranchés ce bien que vous croyés étendre, | Et qui veut l’augmenter, il nous en doit surprendre180. | {p. 3} |"
,"LA VIEILLE. | Encor, sur ce sujet quel est ton sentiment* ? | 20 | Songe un peu. |"
,PRECIEUSE. | N'est-ce point quelque nouvel amant ? |
,"LA VIEILLE. | Déja dans ce penser un démon181 te l’inspire182, | Mais il faut qu’on m’embrasse avant que de le dire183. |"
,"PRECIEUSE. | S'il ne tient qu’à cela, j’aime mieux vous baiser, | Je ne sçay rien apres qu’on me dût refuser. |"
,"LA VIEILLE. | 25 | Flateuse, c’en est fait, je cede à tes caresses, | Aprens donc en trois mots l’effet de tes adresses. | Le dernier mois passé, tu sçais bien que nos Gens | Voulûrent dans Seville aréter184 quelque temps, | Que la permission leur en fut accordée.185 |"
,PRECIEUSE. | 30 | De l’honneur qu’on m’y fit je garde encor l’idée. | {p. 4} |
,"LA VIEILLE. | Là, le jour du balet186 (jour des plus fortunés) | Où tu menois danser des Mores enchainés... |"
,"PRECIEUSE. | En effet, ce jour-là j’eus quelques avantages*. |"
,LA VIEILLE. | Tes larcins glorieux en sont des témoignages. | 35 | Ne te souvient-il pas de ce jeune Seigneur ? |
,"PRECIEUSE. | Je vous entens venir, le fils du Gouverneur | N'est-ce pas ? |"
,LA VIEILLE. | Justement. |
,"PRECIEUSE. | Ha Dieu qu’il est aimable ! | Qu'il est respectueux, galand, civil, affable ! |"
,"LA VIEILLE. | Toutes ces qualités ne font ni bien, ni mal, | {p. 5} | 40 | Di187 qu’il est genereux*, di qu’il est liberal*, | C'est la vertu des Rois, et qui fait l’honeste homme, | De toute autre vertu l’effet est moins qu’un somme188, | A peine est-il formé qu’il meurt le plus souvent, | Ce n’est qu’ombre et fumée, un apas decevant* : | 45 | La liberalité* produit tout au contraire | Un effet à la fois solide et necessaire, | Tel que sont ces ducas* dont il me fit present, | Joint que189 l’aspect aussi n’en est pas deplaisant190. |"
,PRECIEUSE. | Par son merite seul il m’est considerable. |
,LA VIEILLE. | 50 | Et moy par ses dons seuls je le treuve adorable. |
,"PRECIEUSE. | Enfin quoy qu’il en soit, qu’a-t-il fait ce Seigneur ? |"
,"LA VIEILLE. | Sçache, le croirais-tu ? qu’il nous a fait l’honeur... | Remettons à tantost cette bonne nouvelle. | {p. 6} |"
,"PRECIEUSE. | Ha ma tante ! vrayment c’est étre trop cruelle | 55 | De faire ainsi languir ma curiosité, | De grace poursuivés ce discours arrété, | Il nous a... |"
,"LA VIEILLE. | Ce matin, m’ayant veuë à Tolede. |"
,"PRECIEUSE. | Que dit-elle, bon Dieu ? quel transport* me possede ? |"
,LA VIEILLE. | Il nous a fait l’honeur de s’enquerir de toy. |
,"PRECIEUSE. | 60 | Il est en cette ville, et se souvient de moy ? | Depuis quand, je vous prie, avez-vous fait ce songe ? |"
,"LA VIEILLE. | Dans quelque étonnement* que ce discours te plonge, | Croy qu’il est veritable, et de plus... |"
,"PRECIEUSE. | Achevés, | {p. 7} | Et ne me celés rien de ce que vous sçavés. |"
,"LA VIEILLE. | 65 | Que c’est à ton sujet qu’il a fait ce voyage, | Ainsi que dans les mains, je li dans le visage. |"
,PRECIEUSE. | O Ciel ! est-il possible ? |
,"LA VIEILLE. | Ouy, puisqu’il est certain. |"
,"PRECIEUSE. | Il est vray que souvent il me baisoit la main, | Et mesmes au raport que m’en fait ma mémoire, | 70 | Les discours qu’il me tint furent tous à ma gloire*, | M'accusant d’un grand vol qu’avoit fait ma beauté. |"
,"LA VIEILLE. | De son cœur, de son ame. |"
,"PRECIEUSE. | Et de sa liberté191 : | Mais quoy qu’il me jurast dans sa cajolerie*, | {p. 8} | Je crus que ce n’étoit que par galanterie. |"
,"LA VIEILLE. | 75 | Par là, mon doute encore en est mieux éclaircy. |"
,"PRECIEUSE. | Taisons-nous, j’apercoy quelqu’un qui vient icy. |"
,"LA VIEILLE. | C'est nôtre Poëte192, ô Dieu, l’étrange personnage ! |"
,"LE POETE. | C'est elle, je la voy. |"
,"PRECIEUSE. | Le moyen qu’il fut sage193, | Il est jeune, il est Poëte, et de plus amoureux, | 80 | De ces trois qualitez naist un mal dangereux. |"
,"LA VIEILLE. | Ouy, c’est la pauvreté, fuyons de sa presence. | [B, 9] |"
,PRECIEUSE. | Ayés en ma faveur un peu de complaisance. |
,"LE POETE. | Doux charme de mon cœur, miracle de nos jours, | Jeune source d’apas*, de graces, et d’Amours, | 85 | Vôtre divine main m’enchaina dans Séville, | La mesme a resserré mes fers en cette ville194, | Et ce rencontre195 heureux fait voir que le destin | A vos yeux mes vainqueurs veut rendre leur butin196. |"
,"PRECIEUSE. | Franchement, voulés-vous m’obliger d’une grace ? |"
,"LE POETE. | 90 | Je vous veux obeir, que faut-il que je fasse ? |"
,"PRECIEUSE. | Tréve d’Amour icy, ne parlons que de Vers. |"
,"LE POETE. | A quoy m’obligés-vous, honneur de l’Univers ? | Doy-je pas de nouveau vous rendre mes homages ? | {p. 10} | Doy-je pas de mon feu retracer les images ? | 95 | Et bravant les effors d’un respect rigoureux, | Doy-je pas derechef* m’avouër Amoureux ?197 | Ce discours vous déplaist, et je suis temeraire, | Mais qui se sent brûler ne sçauroit pas se taire, | Et les trais* de vos yeux, malgré vôtre rigueur, | 100 | M'ouvrent tout à la fois et la bouche et le cœur. |"
,"PRECIEUSE. | Vous sçavez à quel point j’aime la Poësie, | Donnez preuve par là de vôtre courtésie198, | Quelque aimable travail de ce noble métier199 | Qui charge son autheur de gloire et de laurier, | 105 | Nous peut mieux divertir, et causer moins de blâme, | Que tous ces vains discours et de trais* et de flame200. |"
